player_id,player_name,player_first_name,player_last_name,player_team,player_team_id,previous_games,previous_average,previous_total,locked,active,played_status,supercoach_price,points,games,minutes_played,total_rebouds,total_assists,total_steals,total_blocks,total_turnovers,supercoach_position_1,supercoach_position_2,injury_suspension_status,injury_suspension_status_text
1,Akech Aliir,Akech,Aliir,Adelaide 36ers,3,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
2,Jason Cadee,Jason,Cadee,Adelaide 36ers,3,25,20.8,520,FALSE,TRUE,Yet to play,241300,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
3,Sunday Dech,Sunday,Dech,Adelaide 36ers,3,28,14.57,408,FALSE,TRUE,Yet to play,169100,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
4,Jamaal *** Franklin,Jamaal,*** Franklin,Adelaide 36ers,3,0,0,0,FALSE,FALSE,Yet to play,277000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
5,Kyrin Galloway,Kyrin,Galloway,Adelaide 36ers,3,22,5.55,122,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
6,Isaac Humphries,Isaac,Humphries,Adelaide 36ers,3,23,21.65,498,FALSE,TRUE,Yet to play,251200,0,0,0,0,0,0,0,0,CTR,NA,NA,NA
7,Trey Kell,Trey,Kell,Adelaide 36ers,3,23,22.52,518,FALSE,TRUE,Yet to play,261300,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
8,Nick Marshall,Nick,Marshall,Adelaide 36ers,3,15,7.4,111,FALSE,TRUE,Yet to play,85900,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
9,Mitchell McCarron,Mitchell,McCarron,Adelaide 36ers,3,26,22.58,587,FALSE,TRUE,Yet to play,262000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
10,Keanu Rasmussen,Keanu,Rasmussen,Adelaide 36ers,3,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
11,Fraser Roxburgh,Fraser,Roxburgh,Adelaide 36ers,3,1,2,2,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
12,Alex Starling,Alex,Starling,Adelaide 36ers,3,0,0,0,FALSE,TRUE,Yet to play,232000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
13,Harvey White,Harvey,White,Adelaide 36ers,3,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
14,Jacob Wiley,Jacob,Wiley,Adelaide 36ers,3,0,0,0,FALSE,TRUE,Yet to play,277000,0,0,0,0,0,0,0,0,FWD,CTR,NA,NA
15,Josh Bannan,Josh,Bannan,Brisbane Bullets,4,0,0,0,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,FWD,NA,Injury,Lower leg. Expected to be available for round 4.
16,Aron Baynes,Aron,Baynes,Brisbane Bullets,4,24,20.71,497,FALSE,TRUE,Yet to play,240300,0,0,0,0,0,0,0,0,CTR,NA,NA,NA
17,Tristan Devers,Tristan,Devers,Brisbane Bullets,4,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
18,Gabe Hadley,Gabe,Hadley,Brisbane Bullets,4,1,3,3,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
19,Tyrell Harrison,Tyrell,Harrison,Brisbane Bullets,4,16,11.25,180,FALSE,TRUE,Yet to play,130500,0,0,0,0,0,0,0,0,CTR,NA,NA,NA
20,Matthew Johns,Matthew,Johns,Brisbane Bullets,4,8,1.75,14,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
21,Sam McDaniel,Sam,McDaniel,Brisbane Bullets,4,10,9.7,97,FALSE,TRUE,Yet to play,112500,0,0,0,0,0,0,0,0,GRD,FWD,NA,NA
22,DJ Mitchell,DJ,Mitchell,Brisbane Bullets,4,27,16.04,433,FALSE,TRUE,Yet to play,186100,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
23,Mitchell Norton,Mitchell,Norton,Brisbane Bullets,4,26,10,260,FALSE,TRUE,Yet to play,116000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
24,Shannon Scott,Shannon,Scott,Brisbane Bullets,4,28,27,756,FALSE,TRUE,Yet to play,313300,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
25,Chris Smith,Chris,Smith,Brisbane Bullets,4,0,0,0,FALSE,TRUE,Yet to play,277000,0,0,0,0,0,0,0,0,FWD,GRD,NA,NA
26,Nathan Sobey,Nathan,Sobey,Brisbane Bullets,4,28,24.79,694,FALSE,TRUE,Yet to play,287600,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
27,Isaac White,Isaac,White,Brisbane Bullets,4,24,7.63,183,FALSE,TRUE,Yet to play,88500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
28,Rocco Zikarsky,Rocco,Zikarsky,Brisbane Bullets,4,0,0,0,FALSE,TRUE,Yet to play,115000,0,0,0,0,0,0,0,0,CTR,NA,NA,NA
29,Lachlan Anderson,Lachlan,Anderson,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,232000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
30,Jonah Antonio,Jonah,Antonio,Cairns Taipans,8,22,4.91,108,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
31,Taran Armstrong,Taran,Armstrong,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
32,Kian Dennis,Kian,Dennis,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,FWD,Injury,Shoulder. Expected to be available for round 5.
33,Akoldah Gak,Akoldah,Gak,Cairns Taipans,8,13,3.23,42,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,FWD,CTR,NA,NA
34,Bobi Klintman,Bobi,Klintman,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,115000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
35,Bul Kuol,Bul,Kuol,Cairns Taipans,8,28,16,448,FALSE,TRUE,Yet to play,185600,0,0,0,0,0,0,0,0,FWD,GRD,NA,NA
36,Lat Mayen,Lat,Mayen,Cairns Taipans,8,11,2.18,24,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
37,Tahjere McCall,Tahjere,McCall,Cairns Taipans,8,21,32.05,673,FALSE,TRUE,Yet to play,371800,0,0,0,0,0,0,0,0,GRD,FWD,Injury,Hip. Expected to be available for round 6.
38,Sam Mennenga,Sam,Mennenga,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,CTR,NA,NA,NA
39,Patrick Miller,Patrick,Miller,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,277000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
40,Alex Mudronja,Alex,Mudronja,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
41,Josh Roberts,Josh,Roberts,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,277000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
42,Sam Waardenburg,Sam,Waardenburg,Cairns Taipans,8,25,19.72,493,FALSE,TRUE,Yet to play,228800,0,0,0,0,0,0,0,0,FWD,CTR,NA,NA
43,Biwali Bayles,Biwali,Bayles,Illawarra Hawks,10,10,3.8,38,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
44,Todd Blanchfield,Todd,Blanchfield,Illawarra Hawks,10,25,8.76,219,FALSE,TRUE,Yet to play,101600,0,0,0,0,0,0,0,0,FWD,GRD,NA,NA
45,Gary Clark,Gary,Clark,Illawarra Hawks,10,0,0,0,FALSE,TRUE,Yet to play,277000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
46,Sam Froling,Sam,Froling,Illawarra Hawks,10,28,27.54,771,FALSE,TRUE,Yet to play,319500,0,0,0,0,0,0,0,0,FWD,CTR,NA,NA
47,Daniel Grida,Daniel,Grida,Illawarra Hawks,10,14,11.71,164,FALSE,TRUE,Yet to play,135900,0,0,0,0,0,0,0,0,FWD,GRD,NA,NA
48,Tyler Harvey,Tyler,Harvey,Illawarra Hawks,10,27,25.3,683,FALSE,TRUE,Yet to play,293500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
49,William Hickey,William,Hickey,Illawarra Hawks,10,24,11,264,FALSE,TRUE,Yet to play,127600,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
50,AJ Johnson,AJ,Johnson,Illawarra Hawks,10,0,0,0,FALSE,TRUE,Yet to play,115000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
51,Hyunjung Lee,Hyunjung,Lee,Illawarra Hawks,10,0,0,0,FALSE,TRUE,Yet to play,232000,0,0,0,0,0,0,0,0,GRD,FWD,NA,NA
52,Harry Morris,Harry,Morris,Illawarra Hawks,10,4,1.5,6,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
53,Lachlan Olbrich,Lachlan,Olbrich,Illawarra Hawks,10,0,0,0,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,CTR,FWD,NA,NA
54,Mason Peatling,Mason,Peatling,Illawarra Hawks,10,18,10.94,197,FALSE,TRUE,Yet to play,127000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
55,Justin Robinson,Justin,Robinson,Illawarra Hawks,10,1,37,37,FALSE,TRUE,Yet to play,277000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
56,Wani Swaka Lo Buluk,Wani,Swaka Lo Buluk,Illawarra Hawks,10,28,9.07,254,FALSE,TRUE,Yet to play,105300,0,0,0,0,0,0,0,0,FWD,GRD,NA,NA
57,Luca Yates,Luca,Yates,Illawarra Hawks,10,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,FWD,CTR,NA,NA
58,Campbell Blogg,Campbell,Blogg,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
59,Kyle Bowen,Kyle,Bowen,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
60,Flynn Cameron,Flynn,Cameron,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
61,Ian Clark,Ian,Clark,Melbourne United,1,10,19.5,195,FALSE,TRUE,Yet to play,226300,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
62,Matthew Dellavedova,Matthew,Dellavedova,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,255300,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
63,Chris Goulding,Chris,Goulding,Melbourne United,1,27,22.59,610,FALSE,TRUE,Yet to play,262100,0,0,0,0,0,0,0,0,GRD,FWD,NA,NA
64,Ariel Hukporti,Ariel,Hukporti,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,172100,0,0,0,0,0,0,0,0,CTR,NA,NA,NA
65,Shea Ili,Shea,Ili,Melbourne United,1,14,20.5,287,FALSE,TRUE,Yet to play,237900,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
66,Tanner Krebs,Tanner,Krebs,Melbourne United,1,16,13.06,209,FALSE,TRUE,Yet to play,151600,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
67,Robert Loe,Robert,Loe,Melbourne United,1,23,10.87,250,FALSE,TRUE,Yet to play,126100,0,0,0,0,0,0,0,0,CTR,FWD,NA,NA
68,Jo Lual-Acuil Jr,Jo,Lual-Acuil Jr,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,353900,0,0,0,0,0,0,0,0,CTR,NA,Injury,Wrist. Expected recovery time is to be confirmed.
69,Malith Machar,Malith,Machar,Melbourne United,1,6,1.83,11,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
70,Brad Newley,Brad,Newley,Melbourne United,1,28,7.86,220,FALSE,TRUE,Yet to play,91200,0,0,0,0,0,0,0,0,FWD,GRD,NA,NA
71,Luke Travers,Luke,Travers,Melbourne United,1,27,23.81,643,FALSE,TRUE,Yet to play,276300,0,0,0,0,0,0,0,0,GRD,FWD,NA,NA
72,Zac Triplett,Zac,Triplett,Melbourne United,1,10,1.9,19,FALSE,TRUE,Yet to play,69000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
73,Tom Abercrombie,Tom,Abercrombie,New Zealand Breakers,7,20,12.45,249,FALSE,TRUE,Yet to play,144500,0,0,0,0,0,0,0,0,FWD,GRD,NA,NA
74,Zylan Cheatham,Zylan,Cheatham,New Zealand Breakers,7,0,0,0,FALSE,TRUE,Yet to play,277000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
